price_to_median_views_ratio,trend_momentum,extra_column,timestamp,usage_of_low_quality_products,negative_sentiment_rate,authenticity,comment_sentiment,hashtag_strategy,creator_id,past_collaborations_success,price_to_engagement_ratio,daily_profile_views,content_diversity_score,strongest_engagement_growth_post_upload,brand_risk_score,follower_count,video_quality,engagement_velocity,creator_price,trend_resonance,hook_retention_rate,upload_consistency,trend_personalization
0.014,0.332,,2025-07-20T14:38:03.690036,0.106,,0.848,0.731,0.657,54c845c9-e0a1-4c1f-a498-3b5f1c966383,0.767,0.239,9377.11,0.0.0,0.526,0.336,21370.58,0.441,0.739,958.712,0.372,0.0.0,0.855,0.995
0.237,0.856,,2025-07-20T14:38:03.690453,0.158,0,0.568,0.984,0.885,25c4ef1e-7cbf-4a69-956b-ffff60a1edd5,0.303,0.023,0.0.0,0.938,0.406,0.469,167425.467,0.799,0.921,3191.074,0.0.0,0.3,0.523,0.66
NaN,0.794,unexpected,2025-07-20T14:38:03.690771,0.15,0.069,0.815,0.884,0.313,8d671101-5462-42fa-9652-3b01351ae912,0.669,0.098,11242.466,0.795,0.628,,279727.224,0.627,0.152,?,0.703,0.809,0.0.0,0.71
0.158,0.511,,2025-07-20T14:38:03.690980,,0.128,0.644,0.838,,7ef7d968-0779-44aa-9019-409de5cfcae9,?,0.094,13097.707,0.724,0.572,0.045,837581.253,0.475,0.708,2190.315,,0.907,0.701,0.792
,0.633,,2025-07-20T14:38:03.691246,0.101,0.079,0.741,0.637,0.522,a98043a6-757e-4d8e-84cd-eb69677402a5,0.683,?,16348.51,0.65,0.898,0.396,783546.566,,0.0.0,?,0.681,0.26,0.854,0.449
0.187,0.6,,2025-07-20T14:38:03.691479,NaN,0.295,0.558,?,,b7945511-7688-442e-8795-99b90ed33e15,,0.29,,0.905,0.622,0.459,139396.172,0.419,0.717,1116.105,0.549,0.335,0.919,0.595
0.094,0.233,,2025-07-20T14:38:03.691772,0.004,0.146,0.871,NaN,0.249,bf935ec7-d76a-459d-bb79-6d1617c1d1af,0.483,0.051,1366.406,0.462,0.244,0.305,964904.12,0.843,,4750.762,0.601,,0.784,0.672
0.015,0.876,,2025-07-20T14:38:03.692034,,0.115,0.802,,,485fcadd-a716-48a2-a1d0-833af92f5535,0.307,?,938.986,0.822,0.918,0.177,289734.864,0.974,0.563,748.731,0.473,0.402,0.931,0.882
?,0.759,,2025-07-20T14:38:03.692256,0.065,0.004,0.952,0.841,0.942,d7ad4bdf-ef7c-448e-968d-8b79fc1e241c,0.815,0.0.0,16725.953,0.794,0.32,0.453,915027.884,0.464,0.453,1650.3,0.622,0.263,0.967,0.0.0
0.158,0.636,,2025-07-20T14:38:03.692431,0.065,0.167,0.683,0.742,0.51,97aa9797-2f3f-43bb-ba1b-70a6e2a3a2b2,0.0.0,0.129,4532.323,0.441,0.822,0.0.0,467998.117,0.64,0.522,2322.253,0.279,0.817,0.885,
0.13,0.565,,2025-07-20T14:38:03.692692,0.081,0.127,0.805,0.444,0.719,9791c974-f052-4167-8ed1-58407d9c7e86,0.31,0.285,4553.576,0.704,0.896,0.325,685592.119,0.859,,?,0.73,0.576,0.696,0.345
0.278,0.0.0,,2025-07-20T14:38:03.692975,0.089,0.262,0.934,0.478,0.209,c8990055-a1cd-454f-aecc-6662ef91fd4a,,0.264,10048.97,0.997,0.288,0.328,337531.995,0.782,0.511,1787.227,0.78,,0.374,0.9
0.109,0.26,,2025-07-20T14:38:03.693210,0.133,0.0.0,0.667,0.732,0.613,6c08497b-24cc-4143-b6dc-1de429fb9ca0,0.314,0.125,14060.863,0.338,0.145,0.057,531229.886,0.783,0.945,983.325,0.743,0.582,0.36,0.678
,0.217,,2025-07-20T14:38:03.693424,0.084,0.23,0.627,0.683,0.437,ea7fabd0-4102-4eed-86b2-5905391c1411,,0.064,2214.745,0.933,0.235,0.284,743511.515,0.704,0.956,?,0.563,0.182,,0.653
0.119,0.48,,2025-07-20T14:38:03.693605,0.197,0.254,0.63,0.441,0.754,77b24328-1b84-4c56-8279-088c5798a433,0.974,0.056,,0.861,0.834,,740399.836,0.406,0.557,NaN,0.719,0.467,0.665,?
0.087,0.712,,2025-07-20T14:38:03.693926,,0.198,0.741,0.489,0.229,262abdcd-5621-47f3-b818-bd56b9d8f3cb,NaN,0.017,14326.014,0.35,NaN,0.077,41759.791,0.0.0,0.156,2363.609,0.469,0.449,0.425,0.826
0.13,?,,2025-07-20T14:38:03.694173,0.05,0.006,0.973,0.0.0,0.254,cd84cb50-cf4b-4687-8922-06db5018d0ff,0.835,0.222,11544.273,0.562,0.716,0.209,421111.163,0.554,0.383,249.005,0.411,0.934,0.443,0.912
0.129,0.525,,2025-07-20T14:38:03.694427,0.129,0.151,0.509,0.611,0.273,2ae36e69-28d6-4908-ad14-6b25ad4139b0,0.831,0.272,11262.347,0.372,0.399,0.427,635858.066,0.981,0.73,703.082,0.499,NaN,0.857,?
0.108,0.835,,2025-07-20T14:38:03.694634,0.062,0.038,0.963,0.447,0.802,bfdd9767-22e9-4743-bd36-10f156c7d966,0.999,0.061,11378.753,0.335,0.0.0,0.279,968946.597,0.998,0.981,1202.063,0.218,0.211,0.518,NaN
0.206,0.406,,2025-07-20T14:38:03.694831,0.105,0.011,0.773,0.0.0,0.9,84446618-f396-4ee3-a396-801ade40633c,,0.03,3035.804,0.498,0.979,0.064,939777.444,0.572,0.373,4016.582,0.265,0.743,0.95,0.454
0.269,0.766,,2025-07-20T14:38:03.695105,0.037,0.216,0.501,0.588,0.764,a3426bca-8b94-48e1-8c7c-ed677084fcf3,0.576,0.115,8980.005,0.519,0.656,0.334,387022.314,0.44,0.758,NaN,0.399,0.347,0.715,0.897
0.057,0.725,,2025-07-20T14:38:03.695329,0.134,0.098,0.923,?,0.633,8b18b5e6-eada-4cb0-aa7b-1bf360830550,0.814,0.255,8018.021,0.588,,0.421,,0.916,0.594,4967.385,0.775,0.957,0.718,0.333
0.025,0.294,,2025-07-20T14:38:03.695599,0.014,0.0.0,0.517,0.78,0.239,e406d89e-4f9c-4bf1-b823-9e71c611b320,0.608,0.123,10925.081,0.876,0.746,0.244,,0.813,0.939,4399.187,0.423,0.582,0.721,0.972
NaN,0.705,unexpected,2025-07-20T14:38:03.695764,0.039,0.172,NaN,0.968,,43ffbf0c-7a13-4398-8c00-6250a2b50ae2,0.429,0.158,6990.867,0.995,0.406,NaN,0.0.0,0.532,,4501.525,0.563,NaN,0.488,
0.051,0.813,,2025-07-20T14:38:03.695961,0.04,0.138,,0.669,0.699,a2fe4938-38e3-4f93-ad1e-eff1df9ca05e,0.388,,2672.144,0.595,0.477,0.152,306898.103,,0.603,2318.216,0.5,0.926,0.647,0.613
0.012,0.464,,2025-07-20T14:38:03.696186,0.032,0.0.0,0.746,0.65,0.991,00311047-4aea-4c19-ae7e-a08039441b24,0.637,NaN,7982.568,0.566,0.344,0.148,77268.449,0.599,0.49,1235.469,0.518,0.332,0.709,0.811
0.143,0.303,,2025-07-20T14:38:03.696366,0.02,0.145,0.816,0.643,NaN,bbb760d6-5e63-4969-adb3-c3b85e5aa8c5,0.705,0.123,4402.968,0.885,0.59,0.023,299032.53,0.665,0.43,499.146,0.7,0.891,0.565,0.967
0.09,0.658,,2025-07-20T14:38:03.696608,0.04,0.173,0.962,0.0.0,0.295,feebb52c-4a98-497c-af21-29ba46eade95,0.392,0.197,10991.679,0.546,0.572,0.131,937238.2,0.873,0.496,3948.106,0.989,0.883,0.336,0.345
0.271,0.376,,2025-07-20T14:38:03.696811,0.068,0.214,0.622,0.877,0.704,bf3dab3c-360f-4236-9ca4-9471952d5be2,?,0.03,,0.691,0.109,0.011,947684.614,0.856,0.477,3247.525,0.397,0.216,0.987,?
0.141,0.26,,2025-07-20T14:38:03.697112,?,0.271,0.575,0.61,0.712,9e6096bf-d0b7-42e4-9b7f-75bebe371200,0.54,,7437.53,0.503,0.821,0.272,818468.692,0.745,0.0.0,2599.901,,0.674,0.374,0.411
NaN,0.635,,2025-07-20T14:38:03.697435,,0.177,0.644,0.567,?,517e3398-7196-4fd6-85d1-f20211931d09,0.804,0.149,14227.101,0.502,0.614,0.078,790699.356,,0.818,,0.991,0.621,0.72,0.901
0.123,?,,2025-07-20T14:38:03.697660,?,0.295,?,0.713,0.266,74b91d4e-b531-4439-b204-4969540d7eee,,,4494.48,0.408,0.232,0.173,525448.858,0.675,0.278,487.643,0.288,?,0.39,0.83
0.15,0.559,,2025-07-20T14:38:03.697880,,0.203,,0.582,0.447,4b0f0d7a-4321-4bda-822d-a2fc14f5cc66,0.576,0.04,16261.9,,0.132,0.463,530116.487,0.517,0.697,3064.133,0.86,0.414,0.683,0.651
,,,2025-07-20T14:38:03.698069,0.124,0.079,0.884,0.744,0.904,61cf44b0-5525-411f-8501-46b77a562ed4,0.717,0.121,16854.521,0.851,0.211,0.032,249359.81,0.582,?,3758.271,0.405,0.16,0.94,0.64
0.079,,,2025-07-20T14:38:03.698282,0.161,?,0.72,NaN,,9d15e1c7-898d-4239-84d0-c40100418bf5,0.706,0.091,14487.537,0.966,0.368,0.168,238593.631,0.482,?,4312.908,0.929,0.319,0.433,0.896
0.189,0.437,,2025-07-20T14:38:03.698536,0.18,0.267,0.82,0.9,?,01d30d8a-d9e4-4c81-958d-319f63e8b730,0.342,0.111,1579.5,0.412,0.909,0.302,690158.538,0.659,0.679,2768.424,0.899,0.138,0.421,0.523
0.057,0.287,,2025-07-20T14:38:03.698739,NaN,?,0.705,0.906,0.315,258eef1d-b87f-4c68-bd31-7cf57049eda6,?,0.012,18302.617,0.589,NaN,0.279,104578.82,0.932,,3776.411,0.93,0.261,0.96,0.323
0.026,0.592,,2025-07-20T14:38:03.699013,0.0.0,NaN,0.95,0.844,?,96f72b0a-aaba-4832-87c9-dd971a7d6895,0.431,0.199,9991.306,0.879,0.0.0,,479159.819,,0.354,1371.095,0.862,0.337,0.465,NaN
