width,creator_id,height,video_description,comment_count,like_count,duration,create_time,view_count,share_count,video_id
720,54c845c9-e0a1-4c1f-a498-3b5f1c966383,720,reaction on travel!,79,80154,168,1748443083,,3339,4ad573ea-b5f8-4232-bf1f-0a52fb15372b
720,54c845c9-e0a1-4c1f-a498-3b5f1c966383,1080,unboxing on tech!,,405778,36,1749911883,451241,1484,c14195b2-7499-4a17-b595-88ad714eb639
1080,54c845c9-e0a1-4c1f-a498-3b5f1c966383,1080,reaction on beauty!,4687,89147,44,1748875083,432844,2328,fb09b652-98ff-4e0e-9c8d-0b66edd9913b
720,54c845c9-e0a1-4c1f-a498-3b5f1c966383,1080,review on beauty!,7805,,101,1750343883,NaN,3702,2864b264-2a85-431a-af90-e570a06c3167
1080,54c845c9-e0a1-4c1f-a498-3b5f1c966383,1080,unboxing on beauty!,?,342942,37,1753022283,455493,2747,36d3d35a-6dbe-48e4-8a2a-38a7f74ba021
1080,54c845c9-e0a1-4c1f-a498-3b5f1c966383,1080,challenge on travel!,1326,472471,35,1748011083,410904,4485,325abb36-a63c-41be-991a-ca40797761fc
1080,54c845c9-e0a1-4c1f-a498-3b5f1c966383,720,reaction on fashion!,,357097,51,1748356683,771809,434,fe2ac8e3-541c-47ef-a90c-68fc86e4e0af
720,54c845c9-e0a1-4c1f-a498-3b5f1c966383,720,review on fitness!,3434,307570,10,1751899083,348276,762,68157706-8798-4d4a-88c5-d17ff577bfe9
1080,54c845c9-e0a1-4c1f-a498-3b5f1c966383,1080,review on travel!,9104,0.0.0,26,1750516683,732103,4662,b624dd8e-1c19-4f08-a7d6-94fa3d0ba54d
1080,54c845c9-e0a1-4c1f-a498-3b5f1c966383,1080,vlog on travel!,7508,13453,59,1752935883,100739,767,84abfed6-d76f-49cc-8bbd-e86a5e9dfa2c
1080,54c845c9-e0a1-4c1f-a498-3b5f1c966383,720,vlog on travel!,8764,163724,174,1749047883,690284,2886,b8b6f7a3-6ff0-46f7-b806-cba0827f37fb
1080,54c845c9-e0a1-4c1f-a498-3b5f1c966383,720,unboxing on fitness!,894,,113,1751121483,467376,2806,6fc2cf3d-3f77-4b7e-9d21-899fc10feaf3
720,54c845c9-e0a1-4c1f-a498-3b5f1c966383,1080,reaction on tech!,501,,121,1749307083,706444,479,80bceb49-5e65-4a00-a27f-0c4ed1e12f3b
720,54c845c9-e0a1-4c1f-a498-3b5f1c966383,720,review on fitness!,8566,0.0.0,139,1751553483,459364,2369,
1080,54c845c9-e0a1-4c1f-a498-3b5f1c966383,1080,review on food!,7093,93031,0.0.0,1751207883,859267,1028,45495106-ed0a-4a0f-8d3a-d761b0ce6e20
1080,54c845c9-e0a1-4c1f-a498-3b5f1c966383,1080,challenge on travel!,6634,340109,110,1749220683,NaN,3307,98c37ff6-7b4f-4098-855a-4ad05d1477f5
,54c845c9-e0a1-4c1f-a498-3b5f1c966383,1080,unboxing on fitness!,NaN,160424,106,1749479883,317115,1148,275f181c-5634-4182-b617-929ef67b3bc5
,54c845c9-e0a1-4c1f-a498-3b5f1c966383,720,challenge on fashion!,8393,366450,30,1749825483,624507,3350,b35cc896-65c6-4ef3-ac03-e4aab9505bab
