width,creator_id,height,video_description,comment_count,like_count,duration,create_time,view_count,share_count,video_id
720.0,54c845c9-e0a1-4c1f-a498-3b5f1c966383,720.0,reaction on travel!,79.0,80154.0,168.0,1748443083.0,494478.7454455933,3339.0,4ad573ea-b5f8-4232-bf1f-0a52fb15372b
720.0,54c845c9-e0a1-4c1f-a498-3b5f1c966383,1080.0,unboxing on tech!,4999.513470681458,405778.0,36.0,1749911883.0,451241.0,1484.0,c14195b2-7499-4a17-b595-88ad714eb639
1080.0,54c845c9-e0a1-4c1f-a498-3b5f1c966383,1080.0,reaction on beauty!,4687.0,89147.0,44.0,1748875083.0,432844.0,2328.0,fb09b652-98ff-4e0e-9c8d-0b66edd9913b
720.0,54c845c9-e0a1-4c1f-a498-3b5f1c966383,1080.0,review on beauty!,7805.0,253113.63264767933,101.0,1750343883.0,494478.7454455933,3702.0,2864b264-2a85-431a-af90-e570a06c3167
1080.0,54c845c9-e0a1-4c1f-a498-3b5f1c966383,1080.0,unboxing on beauty!,4999.513470681458,342942.0,37.0,1753022283.0,455493.0,2747.0,36d3d35a-6dbe-48e4-8a2a-38a7f74ba021
1080.0,54c845c9-e0a1-4c1f-a498-3b5f1c966383,1080.0,challenge on travel!,1326.0,472471.0,35.0,1748011083.0,410904.0,4485.0,325abb36-a63c-41be-991a-ca40797761fc
1080.0,54c845c9-e0a1-4c1f-a498-3b5f1c966383,720.0,reaction on fashion!,4999.513470681458,357097.0,51.0,1748356683.0,771809.0,434.0,fe2ac8e3-541c-47ef-a90c-68fc86e4e0af
720.0,54c845c9-e0a1-4c1f-a498-3b5f1c966383,720.0,review on fitness!,3434.0,307570.0,10.0,1751899083.0,348276.0,762.0,68157706-8798-4d4a-88c5-d17ff577bfe9
1080.0,54c845c9-e0a1-4c1f-a498-3b5f1c966383,1080.0,review on travel!,9104.0,253113.63264767933,26.0,1750516683.0,732103.0,4662.0,b624dd8e-1c19-4f08-a7d6-94fa3d0ba54d
1080.0,54c845c9-e0a1-4c1f-a498-3b5f1c966383,1080.0,vlog on travel!,7508.0,13453.0,59.0,1752935883.0,100739.0,767.0,84abfed6-d76f-49cc-8bbd-e86a5e9dfa2c
1080.0,54c845c9-e0a1-4c1f-a498-3b5f1c966383,720.0,vlog on travel!,8764.0,163724.0,174.0,1749047883.0,690284.0,2886.0,b8b6f7a3-6ff0-46f7-b806-cba0827f37fb
